"","thorax_temp"
"555",115.599436640453
"556",51.8762855154614
"557",10.6181023517757
"558",47.5096330716545
"559",500
"560",20.1341974435171
"561",36.9703030851236
"562",500
"563",500
"564",500
"565",25.3075533179205
"566",500
"567",500
"568",500
"569",46.2073598063424
"570",45.1334541677538
"571",42.5736871284068
"572",68.6139172742008
"573",33.7571818117279
"574",48.9379372623073
"575",69.527860532105
"576",48.0298779101241
"577",110.304768944838
"578",79.5232466770438
"579",500
"580",500
"581",500
"582",33.0415700744207
"583",108.352876708094
"584",500
"585",13.5850570267932
"586",22.2271147945781
"587",57.6098642873042
"588",26.0378064199709
"589",29.910122784996
"590",49.3610778829876
"591",500
"592",500
"593",122.300571083764
"594",500
"595",59.3014267769947
"596",500
"597",25.1141194893788
"598",22.0007155876623
"599",62.4230238181262
"600",11.8589757383405
"601",107.39110613606
"602",500
"603",500
"604",500
"605",41.2479026495525
"606",18.7786651388227
"607",500
"608",500
"609",63.3821489651348
"610",57.2204815038017
"611",500
"612",56.1777882731065
"613",52.2234737521862
"614",30.1719565566819
"615",500
"616",500
"617",43.4225364878805
"618",14.4436561625774
"619",61.428770184542
"620",47.0470980643611
"621",57.7585921501715
"622",500
"623",63.5918272481127
"624",33.8265784161993
"625",53.2461975650511
"626",500
"627",116.811999488596
"628",7.28789023547182
"629",106.583068592932
"630",50.35213376736
"631",50.6394799725149
"632",500
"633",42.8821503633206
"634",500
"635",55.2114317206861
"636",119.298103406895
"637",18.377253464856
"638",500
"639",42.5819742834487
"640",500
"641",500
"642",25.8071070805912
"643",54.5768830457897
"644",500
"645",40.7155316820835
"646",500
"647",41.9134651982436
"648",49.2943371540894
"649",500
"650",18.4311809295679
"651",500
"652",500
"653",500
"654",17.0834218791018
"655",500
"656",6.56589864569901
"657",48.2415054007434
"658",21.2131855586721
"659",500
"660",37.2683736097689
"661",500
"662",500
"663",500
"664",17.3660516293453
"665",500
"666",68.7684860625272
"667",41.4566051425019
"668",500
"669",500
"670",500
"671",500
"672",47.4166645104679
"673",117.063218624492
"674",26.7341946369568
"675",500
"676",500
"677",48.3556911219102
"678",44.8692589914726
"679",20.0103078823082
"680",49.0235313540416
"681",48.4378463011401
"682",53.7855297489872
"683",55.118103071465
"684",9.46351009014637
"685",500
"686",3.82201176859206
"687",44.5878463604686
"688",500
"689",29.7201246407398
"690",26.9521552734514
"691",48.6214600297131
"692",71.8784784211626
"693",57.9438079803257
"694",28.1007672408333
"695",29.8698743340063
"696",46.3962607843049
"697",500
"698",27.416736056861
"699",500
"700",25.8312160147551
"701",65.3664659925765
"702",49.6080718514149
"703",71.0064079492489
"704",13.3125991970461
"705",500
"706",500
"707",118.033697049371
"708",66.3787224188673
"709",32.8862583423767
"710",500
"711",123.03875955923
"712",31.4050212976987
"713",500
"714",96.1705904192751
"715",100.13001918798
"716",34.4074721263216
"717",36.5223803706346
"718",68.9042566135511
"719",84.8438908898755
"720",8.90119262776324
"721",128.626333480422
"722",500
