"","x"
"1173",0.012
"1174",0.014
"1175",0.014
"1176",0.014
"1177",0.014
"1178",0.014
"1179",0.014
"1180",0.014
"1181",0.016
"1182",0.016
"1183",0.016
"1184",0.016
"1185",0.016
"1186",0.016
"1187",0.018
"1188",0.018
"1189",0.018
"1190",0.018
"1191",0.018
"1192",0.018
"1193",0.02
"1194",0.02
"1195",0.02
"1196",0.02
"1197",0.02
"1198",0.022
"1199",0.022
"1200",0.022
"1201",0.022
"1202",0.024
"1203",0.024
"1204",0.024
"1205",0.024
"1206",0.026
"1207",0.026
"1208",0.026
"1209",0.028
"1210",0.028
"1211",0.03
"1212",0.032
"1213",0.032
"1214",0.034
"1215",0
"1216",0
"1217",0
"1218",0
"1219",0
"1220",0
"1221",0
"1222",0
"1223",0
"1224",0
"1225",0
"1226",0
"1227",0
"1228",0
"1229",0.002
"1230",0.002
"1231",0.002
"1232",0.002
"1233",0.002
"1234",0.002
"1235",0.002
"1236",0.002
"1237",0.002
"1238",0.002
"1239",0.002
"1240",0.002
"1241",0.002
"1242",0.004
"1243",0.004
"1244",0.004
"1245",0.004
"1246",0.004
"1247",0.004
"1248",0.004
"1249",0.004
"1250",0.004
"1251",0.004
"1252",0.004
"1253",0.004
"1254",0.004
"1255",0.006
"1256",0.006
"1257",0.006
"1258",0.006
"1259",0.006
"1260",0.006
"1261",0.006
"1262",0.006
"1263",0.006
"1264",0.006
"1265",0.006
"1266",0.006
"1267",0.008
"1268",0.008
"1269",0.008
"1270",0.008
"1271",0.008
"1272",0.008
"1273",0.008
"1274",0.008
"1275",0.008
"1276",0.008
"1277",0.008
"1278",0.01
"1279",0.01
"1280",0.01
"1281",0.01
"1282",0.01
"1283",0.01
"1284",0.01
"1285",0.01
"1286",0.01
"1287",0.01
"1288",0.012
"1289",0.012
"1290",0.012
"1291",0.012
"1292",0.012
"1293",0.012
"1294",0.012
"1295",0.012
"1296",0.012
"1297",0.012
"1298",0.012
"1299",0.014
"1300",0.014
"1301",0.014
"1302",0.014
"1303",0.014
"1304",0.014
"1305",0.014
"1306",0.014
"1307",0.014
"1308",0.014
"1309",0.016
"1310",0.016
"1311",0.016
"1312",0.016
"1313",0.016
"1314",0.016
"1315",0.016
"1316",0.016
"1317",0.016
"1318",0.018
"1319",0.018
"1320",0.018
"1321",0.018
"1322",0.018
"1323",0.018
"1324",0.018
"1325",0.018
"1326",0.02
"1327",0.02
"1328",0.02
"1329",0.02
"1330",0.02
"1331",0.02
"1332",0.02
"1333",0.02
"1334",0.022
"1335",0.022
"1336",0.022
"1337",0.022
"1338",0.022
"1339",0.022
"1340",0.022
"1341",0.024
"1342",0.024
"1343",0.024
"1344",0.024
"1345",0.024
"1346",0.024
"1347",0.024
"1348",0.026
"1349",0.026
"1350",0.026
"1351",0.026
"1352",0.026
"1353",0.026
"1354",0.028
"1355",0.028
"1356",0.028
"1357",0.028
"1358",0.028
"1359",0.028
"1360",0.03
"1361",0.03
"1362",0.03
"1363",0.03
"1364",0.03
"1365",0.032
"1366",0.032
